frame,jump_height_cm
1034,23.283808663487413
1169,10.523391359618728
1288,10.765842497348785
1515,10.39233935517923
1718,10.147398016282478
1942,83.3058286479542
2041,11.194646869386945
2468,16.78144658037599
2557,10.557218977383181
